step,A_t,B_t,M_t,B1_t,B2_t,B3_t,run,R_mis,R_mis_se,R_b1,R_b1_se,R_b2,R_b2_se,R_b3,R_b3_se,A_t_se,B_t_se
0,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1.0,0.9998,0.9998,0.9998,1.0,1.0,2499.5,0.9998,0.00019997999899988897,0.9998,0.00019997999899988897,1.0,0.0,1.0,0.0,0.0,0.00019997999899988897
2,1.0,0.9996,0.9994,0.9996,1.0,0.9998,2499.5,0.9994,0.0003463062228721987,0.9996,0.0002827861382741226,1.0,0.0,0.9998,0.00019997999899988897,0.0,0.0002827861382741226
3,1.0,0.9982,0.9982,0.9982,0.9996,0.9998,2499.5,0.998,0.0006318227599572528,0.9982,0.0005994597567810576,0.9996,0.0002827861382741226,0.9998,0.00019997999899988897,0.0,0.0005994597567810576
4,1.0,0.996,0.996,0.996,0.9992,0.9992,2499.5,0.9958,0.0009145884320283065,0.996,0.0008926365441768563,0.9992,0.0003998399679871993,0.9992,0.0003998399679871993,0.0,0.0008926365441768563
5,1.0,0.993,0.993,0.993,0.9986,0.9988,2499.5,0.9928,0.0011956721958797892,0.993,0.0011790674280973083,0.9986,0.000528779727296718,0.9988,0.0004896039215529179,0.0,0.0011790674280973083
6,1.0,0.9894,0.9894,0.9894,0.9974,0.9982,2499.5,0.9892,0.0014617359542680771,0.9894,0.0014482845024372838,0.9974,0.0007201722016295889,0.9982,0.0005994597567810576,0.0,0.0014482845024372838
7,1.0,0.9844,0.9844,0.9844,0.9952,0.9972,2499.5,0.9842,0.0017635396224638695,0.9844,0.001752520470636503,0.9952,0.0009774415583552836,0.9972,0.000747283078893136,0.0,0.001752520470636503
8,1.0,0.9792,0.9792,0.9792,0.9926,0.9958,2499.5,0.979,0.002027757381937002,0.9792,0.002018284419996351,0.9926,0.001212042903531056,0.9958,0.0009145884320283065,0.0,0.002018284419996351
9,1.0,0.9742,0.9742,0.9742,0.9894,0.9942,2499.5,0.974,0.0022505110530721692,0.9742,0.0022420686876186485,0.9894,0.0014482845024372838,0.9942,0.0010739050237334796,0.0,0.0022420686876186485
10,1.0,0.9662,0.9662,0.9662,0.9856,0.9928,2499.5,0.966,0.0025629670306112026,0.9662,0.0025556822963741033,0.9856,0.0016847931623792855,0.9928,0.0011956721958797892,0.0,0.0025556822963741033
11,1.0,0.9562,0.9562,0.9562,0.9798,0.9912,2499.5,0.956,0.002900482718445329,0.9562,0.0028941858958954226,0.9798,0.001989570807988497,0.9912,0.0013207997577225725,0.0,0.0028941858958954226
12,1.0,0.9466,0.9466,0.9466,0.9734,0.9886,2499.5,0.9464,0.0031851857088716186,0.9466,0.0031795735563122296,0.9734,0.002275629143775407,0.9886,0.001501335405563991,0.0,0.0031795735563122296
13,1.0,0.9368,0.9368,0.9368,0.9674,0.9858,2499.5,0.9366,0.0034461700480388374,0.9368,0.0034410974993452316,0.9674,0.0025114633184659483,0.9858,0.001673222041451761,0.0,0.0034410974993452316
14,1.0,0.9284,0.9282,0.9284,0.9626,0.9832,2499.5,0.928,0.0036555710908146746,0.9284,0.0036461881465442783,0.9626,0.002683327784673352,0.9832,0.0018175676053451238,0.0,0.0036461881465442783
