step,A_t,B_t,M_t,B1_t,B2_t,B3_t,run,R_mis,R_mis_se,R_b1,R_b1_se,R_b2,R_b2_se,R_b3,R_b3_se,A_t_se,B_t_se
29,1.0,0.6794,0.6794,0.6794,0.7458,0.8906,2499.5,0.679,0.006602408651393823,0.6794,0.006600236965442983,0.7458,0.006157635260390144,0.8906,0.004414332112562444,0.0,0.006600236965442983
30,1.0,0.661,0.661,0.661,0.7274,0.8812,2499.5,0.6606,0.006696381709550316,0.661,0.006694460396477075,0.7274,0.006297447736980434,0.8812,0.004575730761310154,0.0,0.006694460396477075
31,1.0,0.6404,0.6404,0.6404,0.7054,0.8746,2499.5,0.64,0.006788225099390856,0.6404,0.006786572625412625,0.7054,0.006446872730246813,0.8746,0.004683478194675406,0.0,0.006786572625412625
32,1.0,0.6218,0.6218,0.6218,0.6856,0.8642,2499.5,0.6214,0.0068594757817197665,0.6218,0.0068580574509113,0.6856,0.006565860796574963,0.8642,0.004844757166257149,0.0,0.0068580574509113
33,1.0,0.6012,0.6012,0.6012,0.6626,0.853,2499.5,0.6008,0.006925884203479005,0.6012,0.006924717467160664,0.6626,0.006686721767802217,0.853,0.005007813894305578,0.0,0.006924717467160664
34,1.0,0.5838,0.5838,0.5838,0.643,0.8442,2499.5,0.5834,0.00697200745840106,0.5838,0.006971048127792549,0.643,0.006775706605218381,0.8442,0.005128866541449485,0.0,0.006971048127792549
35,1.0,0.5678,0.5678,0.5678,0.6238,0.8334,2499.5,0.5674,0.007006528955196004,0.5678,0.007005757061160485,0.6238,0.006850891328871011,0.8334,0.005269619341090967,0.0,0.007005757061160485
36,1.0,0.5464,0.5464,0.5464,0.6044,0.8228,2499.5,0.546,0.0070410794626960425,0.5464,0.007040554523615309,0.6044,0.006915209902815677,0.8228,0.00540000296296215,0.0,0.007040554523615309
37,1.0,0.526,0.526,0.526,0.5842,0.8108,2499.5,0.5256,0.007061793539887725,0.526,0.007061501256815012,0.5842,0.006970084074098389,0.8108,0.0055390136306024745,0.0,0.007061501256815012
38,1.0,0.5082,0.5082,0.5082,0.5642,0.7994,2499.5,0.5078,0.007070207351980562,0.5082,0.007070116830717863,0.5642,0.0070125367735221185,0.7994,0.0056632082779993174,0.0,0.007070116830717863
