model,q0,paired_delta_RMST,SE,CI_low,CI_high
deterministic,0.3,0.8116,0.049078129758214226,0.7154068656739001,0.9077931343260999
deterministic,0.5,0.5838,0.03906841153868469,0.507225913384178,0.660374086615822
deterministic,0.7,0.269,0.028157527755004602,0.213811245600191,0.32418875439980904
