scenario,RMST,SE,CI_low,CI_high,R_horizon,TTF
S1_Spatial,112.2694,0.11182784009880649,112.05021743340635,112.48858256659366,0.2152,112.2694
S2_Temporal,43.4762,0.3393648779942957,42.81104483913118,44.14135516086882,0.0096,43.4762
S3_Joint_Clayton,57.6202,0.486167277916175,56.66731213528429,58.5730878647157,0.0008,57.6202
S3_Joint_Gaussian,55.2976,0.4888486897356801,54.33945656811807,56.25574343188194,0.0006,55.2976
S3_Joint_Gumbel,54.9564,0.5198772107631322,53.937440666904266,55.97535933309574,0.0022,54.9564
S3_Joint_Independence,42.2366,0.3013455921714871,41.645962639343885,42.82723736065612,0.0,42.2366
S3_Joint_Student_t,55.3532,0.4904122661497753,54.391991958346445,56.31440804165356,0.0008,55.3532
