quantity,copula,K,kappa,estimate,SE,band_low,band_high,critical_value
RMST,independence,2,0.08695652173913043,117.4528,0.11254122594634555,117.1341571695269,117.77144283047309,2.831343161527401
RMST,independence,3,0.13043478260869565,115.2822,0.1544435275194064,114.84491737451576,115.71948262548425,2.831343161527401
RMST,independence,4,0.17391304347826086,109.827,0.2045731757509962,109.24778313780547,110.40621686219453,2.831343161527401
RMST,independence,5,0.21739130434782608,103.7238,0.246911838118713,103.02470785564242,104.42289214435758,2.831343161527401
RMST,independence,6,0.2608695652173913,99.6316,0.2731894997772775,98.85810677800453,100.40509322199549,2.831343161527401
RMST,independence,7,0.30434782608695654,91.674,0.27464812236427244,90.89637691691759,92.45162308308242,2.831343161527401
RMST,independence,8,0.34782608695652173,87.8226,0.2795757113264186,87.03102522160678,88.6141747783932,2.831343161527401
RMST,independence,9,0.391304347826087,83.698,0.27876646381562714,82.90871647901244,84.48728352098755,2.831343161527401
RMST,independence,10,0.43478260869565216,79.4434,0.2649766061529988,78.69316029820396,80.19363970179603,2.831343161527401
RMST,independence,11,0.4782608695652174,76.0622,0.2606581952883013,75.3241872012744,76.80021279872561,2.831343161527401
RMST,independence,12,0.5217391304347826,72.0452,0.25025434429669347,71.33664407363302,72.75375592636696,2.831343161527401
RMST,independence,13,0.5652173913043478,68.664,0.2593135351305448,67.92979439561664,69.39820560438336,2.831343161527401
RMST,independence,14,0.6086956521739131,64.7966,0.266975843304557,64.04069977176663,65.55250022823337,2.831343161527401
RMST,independence,15,0.6521739130434783,60.1544,0.2854131115713744,59.346297538342135,60.96250246165787,2.831343161527401
RMST,independence,16,0.6956521739130435,54.818,0.29911895565130336,53.97109159043346,55.664908409566536,2.831343161527401
RMST,independence,17,0.7391304347826086,48.926,0.3084306254089208,48.05272705794283,49.79927294205717,2.831343161527401
RMST,independence,18,0.782608695652174,42.2366,0.30134559217148765,41.38338721834884,43.08981278165117,2.831343161527401
RMST,independence,19,0.8260869565217391,35.245,0.2889965030856941,34.42675172728298,36.06324827271701,2.831343161527401
RMST,independence,20,0.8695652173913043,28.5128,0.2596038637332128,27.777772375712875,29.247827624287122,2.831343161527401
RMST,independence,21,0.9130434782608695,21.5598,0.22815489414681694,20.9138152006884,22.205784799311598,2.831343161527401
RMST,independence,22,0.9565217391304348,15.2376,0.18989576437684347,14.699939926128605,15.775260073871396,2.831343161527401
RMST,independence,23,1.0,10.0832,0.1366107903996265,9.696407972811164,10.469992027188836,2.831343161527401
RMST,gaussian,2,0.08695652173913043,107.5776,0.3296643920266082,106.73124537999396,108.42395462000604,2.5673219203417244
RMST,gaussian,3,0.13043478260869565,104.8032,0.3647961474547692,103.86665085418316,105.73974914581684,2.5673219203417244
RMST,gaussian,4,0.17391304347826086,96.0964,0.409203263513597,95.04584349170618,97.14695650829383,2.5673219203417244
RMST,gaussian,5,0.21739130434782608,92.8936,0.41972754263927714,91.81602427921102,93.97117572078899,2.5673219203417244
RMST,gaussian,6,0.2608695652173913,90.4958,0.4304414622715749,89.39071819848624,91.60088180151376,2.5673219203417244
RMST,gaussian,7,0.30434782608695654,84.608,0.4333922391628518,83.49534260429124,85.72065739570877,2.5673219203417244
RMST,gaussian,8,0.34782608695652173,82.2742,0.4405424592518654,81.14318568752142,83.40521431247856,2.5673219203417244
RMST,gaussian,9,0.391304347826087,79.4038,0.44433459887696813,78.26305004433692,80.54454995566309,2.5673219203417244
RMST,gaussian,10,0.43478260869565216,76.105,0.4449848506448942,74.96258063871937,77.24741936128063,2.5673219203417244
RMST,gaussian,11,0.4782608695652174,73.6492,0.4501333934361869,72.49356267195347,74.80483732804652,2.5673219203417244
RMST,gaussian,12,0.5217391304347826,70.701,0.44963126387595925,69.54665180018029,71.8553481998197,2.5673219203417244
RMST,gaussian,13,0.5652173913043478,68.3134,0.4559033731670924,67.1429492765104,69.48385072348961,2.5673219203417244
RMST,gaussian,14,0.6086956521739131,65.768,0.4592727092744537,64.58889910606496,66.94710089393504,2.5673219203417244
RMST,gaussian,15,0.6521739130434783,63.5888,0.46825048277062425,62.38665027137238,64.79094972862762,2.5673219203417244
RMST,gaussian,16,0.6956521739130435,60.976,0.47544039953994494,59.755391440445074,62.196608559554925,2.5673219203417244
RMST,gaussian,17,0.7391304347826086,58.3916,0.483109768994356,57.15130170012956,59.631898299870436,2.5673219203417244
RMST,gaussian,18,0.782608695652174,55.2976,0.48884868973568246,54.04256804311125,56.55263195688875,2.5673219203417244
RMST,gaussian,19,0.8260869565217391,51.9366,0.49495477786806613,50.66589174920144,53.207308250798555,2.5673219203417244
RMST,gaussian,20,0.8695652173913043,47.974,0.49295004285317695,46.708438549349644,49.23956145065035,2.5673219203417244
RMST,gaussian,21,0.9130434782608695,43.1032,0.4900139311106732,41.84517649338675,44.36122350661325,2.5673219203417244
RMST,gaussian,22,0.9565217391304348,36.9392,0.4708485959967065,35.73038007833553,38.14801992166447,2.5673219203417244
RMST,gaussian,23,1.0,29.7138,0.42683075663658915,28.61798804221084,30.80961195778916,2.5673219203417244
RMST,student_t,2,0.08695652173913043,107.0462,0.3462208354293191,106.1563449223249,107.93605507767509,2.57019505071572
RMST,student_t,3,0.13043478260869565,104.3234,0.37990502504389534,103.34696998489015,105.29983001510986,2.57019505071572
RMST,student_t,4,0.17391304347826086,95.841,0.42184501234801025,94.75677603709403,96.92522396290596,2.57019505071572
RMST,student_t,5,0.21739130434782608,92.6174,0.4329587672132565,91.50461151934451,93.7301884806555,2.57019505071572
RMST,student_t,6,0.2608695652173913,90.159,0.445881358476854,89.0129979392364,91.30500206076361,2.57019505071572
RMST,student_t,7,0.30434782608695654,84.3394,0.4478996364643189,83.18821057114204,85.49058942885796,2.57019505071572
RMST,student_t,8,0.34782608695652173,81.9492,0.4552788811749644,80.77904447290872,83.11935552709129,2.57019505071572
RMST,student_t,9,0.391304347826087,79.04,0.4586208746026766,77.8612548979413,80.21874510205872,2.57019505071572
RMST,student_t,10,0.43478260869565216,75.4732,0.4569573485082298,74.29873048447598,76.64766951552403,2.57019505071572
RMST,student_t,11,0.4782608695652174,73.1144,0.4618950226300173,71.92723969888611,74.3015603011139,2.57019505071572
RMST,student_t,12,0.5217391304347826,70.1926,0.46058233603304155,69.00881355948079,71.37638644051921,2.57019505071572
RMST,student_t,13,0.5652173913043478,67.9816,0.4658176998718524,66.78435765325358,69.17884234674642,2.57019505071572
RMST,student_t,14,0.6086956521739131,65.4982,0.4684997094423321,64.29406436552956,66.70233563447043,2.57019505071572
RMST,student_t,15,0.6521739130434783,63.361,0.4757886618764194,62.138130336058566,64.58386966394143,2.57019505071572
RMST,student_t,16,0.6956521739130435,60.8246,0.4810633340364554,59.5881733997787,62.0610266002213,2.57019505071572
RMST,student_t,17,0.7391304347826086,58.4012,0.4875200743318938,57.14817831782761,59.6542216821724,2.57019505071572
RMST,student_t,18,0.782608695652174,55.3532,0.49041226614977673,54.09274482073157,56.613655179268434,2.57019505071572
RMST,student_t,19,0.8260869565217391,52.181,0.49566850339017043,50.90703526579091,53.454964734209085,2.57019505071572
RMST,student_t,20,0.8695652173913043,48.2312,0.4897049637305121,46.972562725908915,49.48983727409109,2.57019505071572
RMST,student_t,21,0.9130434782608695,43.6268,0.48205400067203413,42.38782719329503,44.865772806704975,2.57019505071572
RMST,student_t,22,0.9565217391304348,37.7502,0.46089613259497986,36.56560704111037,38.93479295888963,2.57019505071572
RMST,student_t,23,1.0,30.7044,0.4183141420897632,29.6292510623565,31.7795489376435,2.57019505071572
RMST,clayton,2,0.08695652173913043,105.8112,0.3894983603386993,104.8250316369665,106.7973683630335,2.531893490324178
