model,q0,RMST,RMST_SE,CI_low,CI_high,R_horizon,TTF
bernoulli,,42.2366,0.3013455921714871,41.645962639343885,42.82723736065612,0.0,42.2366
deterministic,0.3,43.0482,0.3240050789883424,42.41315004518285,43.68324995481715,0.0,43.0482
deterministic,0.5,42.8204,0.3170938953617606,42.19889596509095,43.44190403490905,0.0,42.8204
deterministic,0.7,42.5056,0.3083366472309205,41.901260171427396,43.10993982857261,0.0,42.5056
