zone,K_low,K_high,kappa_low,kappa_high,delta_RMST_min,delta_RMST_max,relative_min_pct,relative_max_pct,independence_assumption,kappa_star_mean
detrimental,2,11,0.08695652173913043,0.4782608695652174,-15.626800000000003,-2.413000000000011,-14.228559461698856,-3.1724036380751683,non-conservative,0.5822699072999148
unresolved,12,14,0.5217391304347826,0.6086956521739131,-1.8711999999999875,1.3016000000000076,-2.59725838778987,2.008747372547337,undetermined,0.5822699072999148
beneficial,15,23,0.6521739130434783,1.0,2.7827999999999946,27.294800000000002,4.62609551421009,246.69747699143133,conservative,0.5822699072999148
