boundary,early_only_delta,early_only_CI_low,early_only_CI_high,late_only_delta,late_only_CI_low,late_only_CI_high,ratio_early_over_late,intervals_disjoint
20,5.6454,4.839064430206523,6.4517355697934775,16.0254,15.144547682866426,16.90625231713358,0.3522782582650043,False
40,10.1728,9.164469926599867,11.181130073400134,6.3272,5.8493717984403055,6.805028201559695,1.60778859527121,True
80,16.3162,15.113430674958181,17.518969325041816,0.1476,0.08471824197769919,0.21048175802230085,110.54336043360432,True
