curve_set,series,rho,kendall_tau,estimate,SE,band_low,band_high,critical_value
family,clayton,0.0,0.0,42.2366,0.3013455921714871,41.48931059241571,42.98388940758429,2.479841839395588
family,clayton,0.2,0.12818843369794988,48.072,0.40062124591256426,47.07852267263524,49.06547732736477,2.479841839395588
family,clayton,0.4,0.2619797608689093,53.3564,0.45036931768545524,52.23955532282356,54.47324467717644,2.479841839395588
family,clayton,0.6,0.4096655293982669,57.6202,0.486167277916175,56.4145820432784,58.82581795672159,2.479841839395588
family,clayton,0.8,0.5903344706017332,62.473,0.5109810118966298,61.20584790756204,63.74015209243796,2.479841839395588
family,gaussian,0.0,0.0,42.2366,0.3013455921714871,41.53726165569705,42.935938344302954,2.320718678058447
family,gaussian,0.2,0.12818843369794988,46.9134,0.39342666024991124,46.00036740111188,47.826432598888125,2.320718678058447
family,gaussian,0.4,0.2619797608689093,50.9846,0.4480516740606218,49.94479811127216,52.02440188872784,2.320718678058447
family,gaussian,0.6,0.4096655293982669,55.2976,0.4888486897356801,54.16311971498601,56.432080285013996,2.320718678058447
family,gaussian,0.8,0.5903344706017332,60.2904,0.5210757311097018,59.081129818130755,61.49967018186924,2.320718678058447
family,gumbel,0.0,0.0,42.2366,0.3013455921714871,41.50577337150382,42.967426628496185,2.425210945445944
family,gumbel,0.2,0.12818843369794988,45.82,0.4065285390850415,44.83408253737481,46.80591746262519,2.425210945445944
family,gumbel,0.4,0.2619797608689093,50.115,0.4752926841716853,48.96231498005645,51.267685019943556,2.425210945445944
family,gumbel,0.6,0.4096655293982669,54.9564,0.5198772107631322,53.695588098169345,56.21721190183066,2.425210945445944
family,gumbel,0.8,0.5903344706017332,60.439,0.54376972415038,59.12024371318838,61.75775628681162,2.425210945445944
family,student_t,0.0,0.0,41.6514,0.32315454720655884,40.886069749893565,42.41673025010644,2.3683103231013507
family,student_t,0.2,0.12818843369794988,46.7644,0.40349346949360254,45.808802250894324,47.71999774910568,2.3683103231013507
family,student_t,0.4,0.2619797608689093,50.7456,0.4493043411833468,49.681507890561235,51.80969210943877,2.3683103231013507
family,student_t,0.6,0.4096655293982669,55.3532,0.4904122661497753,54.19175156750196,56.51464843249804,2.3683103231013507
family,student_t,0.8,0.5903344706017332,60.1838,0.5217086155009303,58.94823210025823,61.419367899741765,2.3683103231013507
student_t_dnu,3,0.0,0.0,-0.4832,0.14584086348994474,-0.8474404491394509,-0.11895955086054916,2.4975198337643145
student_t_dnu,3,0.2,0.12818843369794988,-0.0434,0.13588169875009304,-0.38276723767394505,0.29596723767394506,2.4975198337643145
student_t_dnu,3,0.4,0.2619797608689093,-0.1284,0.13369082741709354,-0.46229549306655315,0.20549549306655315,2.4975198337643145
student_t_dnu,3,0.6,0.4096655293982669,0.1412,0.1260116990666356,-0.17351671770526256,0.45591671770526254,2.4975198337643145
student_t_dnu,3,0.8,0.5903344706017332,-0.0594,0.11535092325204432,-0.34749121866500593,0.2286912186650059,2.4975198337643145
student_t_dnu,5,0.0,0.0,-0.4436,0.1035760078680443,-0.711463266861325,-0.17573673313867505,2.5861516810204
student_t_dnu,5,0.2,0.12818843369794988,-0.0788,0.09613098535471824,-0.327409309373252,0.16980930937325206,2.5861516810204
student_t_dnu,5,0.4,0.2619797608689093,-0.137,0.09685991208190158,-0.38749442445409793,0.11349442445409791,2.5861516810204
student_t_dnu,5,0.6,0.4096655293982669,0.126,0.09409205844858862,-0.1173363351274872,0.3693363351274872,2.5861516810204
student_t_dnu,5,0.8,0.5903344706017332,-0.0784,0.08693700188331371,-0.30323227356340543,0.14643227356340546,2.5861516810204
student_t_dnu,10,0.0,0.0,-0.2174,0.059390343411855395,-0.37114188140536675,-0.0636581185946333,2.588667998418696
student_t_dnu,10,0.2,0.12818843369794988,-0.017,0.060356861997274434,-0.17324387713731787,0.1392438771373179,2.588667998418696
student_t_dnu,10,0.4,0.2619797608689093,-0.0498,0.06351654006770546,-0.21422323464354803,0.11462323464354802,2.588667998418696
student_t_dnu,10,0.6,0.4096655293982669,-0.0372,0.06420457676470975,-0.2034043332228207,0.12900433322282073,2.588667998418696
student_t_dnu,10,0.8,0.5903344706017332,-0.0372,0.05953782144516615,-0.191323653070668,0.116923653070668,2.588667998418696
