copula,kappa_star,kappa_star_CI_low,kappa_star_CI_high,K_star,bootstrap_reps,bootstrap_valid,bootstrap_no_crossing_pct
gaussian,0.5767480102611326,0.538428500907511,0.6110455929380846,13.265204236006051,2000,2000,0.0
student_t,0.5866549384267404,0.5530066480639377,0.6144996133102536,13.49306358381503,2000,2000,0.0
clayton,0.5750424026806769,0.5478293499788884,0.5998075596241923,13.225975261655568,2000,2000,0.0
gumbel,0.5906342778311092,0.556457851227359,0.6190041321907606,13.584588390115512,2000,2000,0.0
