family,rho,df,kendall_tau,RMST,SE,CI_low,CI_high,delta_RMST_vs_independence,delta_SE,delta_CI_low,delta_CI_high
clayton,0.0,3.0,0.0,42.2366,0.3013455921714871,41.645962639343885,42.82723736065612,0.0,0.0,0.0,0.0
clayton,0.2,3.0,0.12818843369794988,48.072,0.40062124591256426,47.28678235801138,48.857217641988626,5.8354,0.5279422373415427,4.800633214810576,6.870166785189424
clayton,0.4,3.0,0.2619797608689093,53.3564,0.45036931768545524,52.47367613733651,54.23912386266349,11.1198,0.5582088937179388,10.025710568312839,12.21388943168716
clayton,0.6,3.0,0.4096655293982669,57.6202,0.486167277916175,56.66731213528429,58.5730878647157,15.3836,0.5202525374743978,14.36390502655018,16.403294973449817
clayton,0.8,3.0,0.5903344706017332,62.473,0.5109810118966298,61.47147721668261,63.47452278331739,20.2364,0.5187141755217197,19.21972021597743,21.25307978402257
gaussian,0.0,3.0,0.0,42.2366,0.3013455921714871,41.645962639343885,42.82723736065612,0.0,0.0,0.0,0.0
gaussian,0.2,3.0,0.12818843369794988,46.6674,0.3940538175557065,45.895054517590815,47.43974548240919,4.4308,0.4974078057057764,3.455880700816678,5.405719299183321
gaussian,0.4,3.0,0.2619797608689093,51.0738,0.4489431820488442,50.193871363184265,51.95372863681573,8.8372,0.5431367587815688,7.772651952788125,9.901748047211875
gaussian,0.6,3.0,0.4096655293982669,55.2976,0.4888486897356801,54.33945656811807,56.25574343188194,13.061,0.5773252434177267,11.929442522901255,14.192557477098745
gaussian,0.8,3.0,0.5903344706017332,60.3846,0.5204431081047713,59.364531508114645,61.40466849188535,18.148,0.6053945157531085,16.961426749123905,19.334573250876094
gumbel,0.0,3.0,0.0,42.2366,0.3013455921714871,41.645962639343885,42.82723736065612,0.0,0.0,0.0,0.0
gumbel,0.2,3.0,0.12818843369794988,45.82,0.4065285390850415,45.02320406339332,46.61679593660668,3.5834,0.5222883168377224,2.559714898998064,4.607085101001936
gumbel,0.4,3.0,0.2619797608689093,50.115,0.4752926841716853,49.1834263390235,51.046573660976506,7.8784,0.5741512802620276,6.753063490686426,9.003736509313574
