step,mean_pairwise_distance_m,scale_vs_step0,homothety_residual,mean_SIR_alpha_2.0,mean_SIR_alpha_2.5,mean_SIR_alpha_3.0,SIR_ratio_vs_step0_alpha_2.0,SIR_ratio_vs_step0_alpha_2.5,SIR_ratio_vs_step0_alpha_3.0,expected_active_transmitters
0,27.639423659899528,1.0,0.0,0.12308564944271567,0.13980195488975894,0.1615096327764841,1.0,1.0,1.0,12.0
30,131.28726238452276,4.75,1.0795579993732288e-16,0.12308564944271567,0.13980195488975894,0.16150963277648406,1.0,1.0,0.9999999999999997,9.305968538892065
60,234.935101109146,8.5,9.538732461942146e-17,0.12308564944271567,0.13980195488975894,0.16150963277648406,1.0,1.0,0.9999999999999997,7.263380644915744
90,338.5829398337692,12.25,1.0253665036302205e-16,0.12308564944271567,0.13980195488975894,0.16150963277648409,1.0,1.0,0.9999999999999998,5.705027837244935
119,438.775850600905,15.875,1.3318346700398398e-16,0.12308564944271567,0.13980195488975894,0.1615096327764841,1.0,1.0,1.0,4.543681345575998
